Invoice Number,Date Sale,Time Sale,Product,Category,Quantity,Unit Price,Total Sale,Payment Method,Seller,Discounts,Taxes,Notes,Remaining Stock
1330-824,2024-07-30,20:39:04.970068,Candies,Candies,20,3.19,63.8,PayPal,Seller D,2.4,10.21,Note 3,92
3172-831,2024-07-10,20:39:04.970068,Toilet Paper,Others,10,12.16,121.6,Bank Transfer,Seller C,0.88,19.46,Note 4,48
1785-668,2024-08-18,20:39:04.970068,Soda,Drinks,1,13.31,13.31,Credit Card,Seller A,0.63,2.13,Note 4,57
8672-851,2024-07-21,20:39:04.970068,Candies,Candies,19,3.71,70.49,Bank Transfer,Seller D,9.97,11.28,Note 4,64
7053-486,2024-07-05,20:39:04.985692,Marlboro,Cigarettes,4,13,52,PayPal,Seller C,3.83,12.54,Note 4,29
8029-486,2024-08-13,20:39:04.985692,Chocolate,Candies,19,14.27,271.13,PayPal,Seller B,28.31,43.38,Note 2,31
9528-661,2024-07-13,20:39:04.985692,Candies,Candies,3,18.54,55.62,Bank Transfer,Seller D,2.42,8.9,Note 4,92
7115-130,2024-07-09,20:39:04.985692,Chewing gums,Candies,7,19.29,135.03,Cash,Seller D,34.37,21.6,Note 3,43
2186-820,2024-07-09,20:39:04.985692,Magazine,Others,13,5.42,70.46,Bank Transfer,Seller D,8.84,11.27,Note 3,75
2383-336,2024-07-27,20:39:04.985692,Chocolate,Candies,10,3.69,36.9,Bank Transfer,Seller C,9.67,5.9,Note 1,50
3260-946,2024-07-10,20:39:04.985692,Cigarette Lighter,Others,20,12,240,PayPal,Seller B,44.5,32.8,Note 2,9
8170-768,2024-07-12,20:39:04.985692,Water,Drinks,8,5.34,42.72,Cash,Seller B,5.6,6.84,Note 1,18
3292-442,2024-07-17,20:39:04.985692,Lucky Strike,Cigarettes,2,11,22,Cash,Seller B,3.18,2.5,Note 1,21
7152-963,2024-08-28,20:39:05.001319,Juice,Drinks,15,14.39,215.85,Bank Transfer,Seller D,4.21,34.54,Note 3,57
7582-634,2024-08-13,20:39:05.001319,Toilet Paper,Others,19,1.22,23.18,Credit Card,Seller B,4.19,3.71,Note 2,45
3259-344,2024-07-21,20:39:05.001319,Marlboro,Cigarettes,3,13,39,Cash,Seller B,0.61,5.2,Note 1,36
4359-643,2024-08-27,20:39:05.001319,Chewing gums,Candies,13,3.94,51.22,Credit Card,Seller D,15.04,8.2,Note 1,6
3438-982,2024-07-28,20:39:05.001319,Soda,Drinks,16,2.07,33.12,PayPal,Seller D,2,5.3,Note 4,45
2247-354,2024-08-25,20:39:05.001319,Chewing gums,Candies,14,3.66,51.24,Credit Card,Seller B,4.83,8.2,Note 4,42
2806-207,2024-08-21,20:39:05.001319,Chewing gums,Candies,3,1.24,3.72,Credit Card,Seller D,0.91,0.6,Note 3,55
6243-359,2024-08-25,20:39:05.001319,Camel,Cigarettes,9,17,153,Cash,Seller D,3.48,6.16,Note 2,18
2034-757,2024-08-12,20:39:05.001319,Toilet Paper,Others,20,1.62,32.4,Credit Card,Seller C,7.78,5.18,Note 2,100
3126-885,2024-08-04,20:39:05.016942,Magazine,Others,19,13.25,251.75,Bank Transfer,Seller A,67.63,40.28,Note 4,79
3317-936,2024-07-17,20:39:05.016942,Beer,Drinks,11,16.89,185.79,PayPal,Seller B,14.46,29.73,Note 3,51
6376-363,2024-08-20,20:39:05.016942,Toilet Paper,Others,15,15.12,226.8,Bank Transfer,Seller B,9.45,36.29,Note 2,37
7894-244,2024-08-17,20:39:05.016942,Juice,Drinks,20,8.48,169.6,PayPal,Seller D,28.61,27.14,Note 4,55
1556-675,2024-07-06,20:39:05.016942,Chocolate,Candies,19,19.37,368.03,PayPal,Seller D,68.32,58.88,Note 3,38
8041-208,2024-07-06,20:39:05.016942,Lucky Strike,Cigarettes,15,11,165,Bank Transfer,Seller A,11.46,11.76,Note 3,12
4502-270,2024-07-24,20:39:05.016942,Lucky Strike,Cigarettes,12,11,132,Cash,Seller C,21.74,19.35,Note 1,46
6503-502,2024-07-29,20:39:05.032569,Water,Drinks,13,2.39,31.07,Credit Card,Seller B,8.34,4.97,Note 3,14
7661-139,2024-07-30,20:39:05.032569,Candies,Candies,16,16.7,267.2,Cash,Seller C,20.48,42.75,Note 3,74
1868-617,2024-07-08,20:39:05.032569,Lucky Strike,Cigarettes,10,11,110,Bank Transfer,Seller B,10.46,24.51,Note 2,26
6510-588,2024-07-02,20:39:05.032569,Water,Drinks,9,15.92,143.28,Cash,Seller B,17.49,22.92,Note 4,74
8012-672,2024-07-06,20:39:05.032569,Water,Drinks,16,18.93,302.88,Cash,Seller D,38.71,48.46,Note 1,70
3029-296,2024-08-02,20:39:05.032569,Lucky Strike,Cigarettes,10,11,110,Bank Transfer,Seller B,31.3,18.11,Note 1,86
4444-816,2024-07-28,20:39:05.032569,Toilet Paper,Others,17,1.01,17.17,PayPal,Seller C,1.4,2.75,Note 1,15
7597-398,2024-07-09,20:39:05.032569,Juice,Drinks,8,16.33,130.64,Credit Card,Seller D,1.92,20.9,Note 3,31
8950-812,2024-07-27,20:39:05.032569,Juice,Drinks,20,18.14,362.8,Cash,Seller D,97.91,58.05,Note 3,11
3115-362,2024-08-17,20:39:05.048192,Lucky Strike,Cigarettes,12,11,132,Cash,Seller D,19.06,16.32,Note 1,52
8689-462,2024-08-15,20:39:05.048192,Beer,Drinks,15,5.05,75.75,Credit Card,Seller D,12.17,12.12,Note 3,57
2195-193,2024-08-27,20:39:05.048192,Juice,Drinks,11,4.81,52.91,Credit Card,Seller B,11.39,8.47,Note 3,83
5775-206,2024-08-30,20:39:05.048192,Camel,Cigarettes,13,17,221,Bank Transfer,Seller A,33.47,20.43,Note 1,4
9254-515,2024-07-10,20:39:05.048192,Water,Drinks,2,3.87,7.74,PayPal,Seller A,0.19,1.24,Note 4,56
4838-680,2024-08-28,20:39:05.048192,Lucky Strike,Cigarettes,7,11,77,Credit Card,Seller D,0.38,3.58,Note 4,87
9042-158,2024-08-22,20:39:05.048192,Cookies,Candies,16,12.26,196.16,Bank Transfer,Seller B,6.87,31.39,Note 2,70
1571-735,2024-07-30,20:39:05.048192,Chewing gums,Candies,16,12.29,196.64,PayPal,Seller C,29.82,31.46,Note 3,35
6923-871,2024-08-21,20:39:05.048192,Camel,Cigarettes,17,17,289,Cash,Seller A,83.71,45.42,Note 1,31
9804-419,2024-08-02,20:39:05.063818,Candies,Candies,10,8.59,85.9,PayPal,Seller A,21.04,13.74,Note 2,30
9750-113,2024-07-13,20:39:05.063818,Chewing gums,Candies,1,10.47,10.47,Cash,Seller D,2.29,1.68,Note 2,49
7529-302,2024-08-19,20:39:05.063818,Cigarette Lighter,Others,11,12,132,Bank Transfer,Seller C,6.69,3.71,Note 4,55
1017-322,2024-08-03,20:39:05.063818,Water,Drinks,10,12.48,124.8,Credit Card,Seller C,11.13,19.97,Note 3,28
8531-621,2024-07-07,20:39:05.063818,Soda,Drinks,6,2.44,14.64,PayPal,Seller B,2.25,2.34,Note 1,36
2499-291,2024-07-26,20:39:05.063818,Toilet Paper,Others,15,4.38,65.7,PayPal,Seller A,2.7,10.51,Note 4,79
6135-428,2024-07-11,20:39:05.063818,Chocolate,Candies,17,9.2,156.4,Cash,Seller B,1.37,25.02,Note 4,29
6174-282,2024-08-12,20:39:05.063818,Candies,Candies,16,7.34,117.44,PayPal,Seller B,25.82,18.79,Note 3,7
9134-855,2024-08-11,20:39:05.063818,Magazine,Others,12,2.96,35.52,Cash,Seller B,3.08,5.68,Note 3,52
1981-716,2024-08-18,20:39:05.079440,Magazine,Others,1,4.34,4.34,Credit Card,Seller D,0.67,0.69,Note 3,73
5894-100,2024-07-29,20:39:05.079440,Chocolate,Candies,7,14.34,100.38,Credit Card,Seller D,29.66,16.06,Note 1,43
1887-504,2024-08-06,20:39:05.079440,Lucky Strike,Cigarettes,11,11,121,PayPal,Seller D,1.08,8.54,Note 4,19
1199-711,2024-08-10,20:39:05.079440,Chewing gums,Candies,8,12.01,96.08,Cash,Seller D,12.59,15.37,Note 1,56
7550-566,2024-08-22,20:39:05.079440,Soda,Drinks,16,13.38,214.08,Cash,Seller C,38.47,34.25,Note 1,23
8571-156,2024-08-30,20:39:05.079440,Soda,Drinks,12,9.08,108.96,Bank Transfer,Seller B,1.66,17.43,Note 1,47
7317-260,2024-08-27,20:39:05.079440,Lucky Strike,Cigarettes,3,11,33,PayPal,Seller B,1.32,0.87,Note 2,75
8552-614,2024-07-16,20:39:05.079440,Chocolate,Candies,19,15.57,295.83,PayPal,Seller C,74.95,47.33,Note 3,56
3706-658,2024-08-06,20:39:05.095064,Candies,Candies,12,18.1,217.2,Cash,Seller D,38.36,34.75,Note 2,66
8425-821,2024-07-16,20:39:05.095064,Candies,Candies,8,9.86,78.88,Bank Transfer,Seller D,7.22,12.62,Note 1,51
1762-896,2024-07-06,20:39:05.095064,Candies,Candies,20,15.58,311.6,Cash,Seller A,42.57,49.86,Note 2,60
2359-180,2024-08-12,20:39:05.095064,Juice,Drinks,18,4.94,88.92,Cash,Seller D,24.24,14.23,Note 1,22
2002-808,2024-08-23,20:39:05.095064,Toilet Paper,Others,15,5.07,76.05,Cash,Seller D,16.92,12.17,Note 1,26
9918-111,2024-08-24,20:39:05.095064,Magazine,Others,19,6.3,119.7,Credit Card,Seller A,19.71,19.15,Note 1,92
9953-669,2024-08-13,20:39:05.095064,Candies,Candies,14,4.04,56.56,Bank Transfer,Seller B,10.34,9.05,Note 2,68
4464-788,2024-07-01,20:39:05.095064,Cookies,Candies,14,16.45,230.3,PayPal,Seller B,25.83,36.85,Note 3,78
6048-996,2024-08-29,20:39:05.095064,Toilet Paper,Others,20,6.4,128,PayPal,Seller D,6.42,20.48,Note 3,70
9742-111,2024-07-04,20:39:05.110693,Lucky Strike,Cigarettes,10,11,110,Credit Card,Seller B,2.68,15.34,Note 2,89
1393-397,2024-07-23,20:39:05.110693,Candies,Candies,14,8.59,120.26,Cash,Seller B,30.15,19.24,Note 4,42
6818-111,2024-08-08,20:39:05.110693,Camel,Cigarettes,19,17,323,Credit Card,Seller D,12.28,23.77,Note 1,51
8811-178,2024-08-11,20:39:05.110693,Cigarette Lighter,Others,2,12,24,PayPal,Seller D,0.58,5.98,Note 1,0
2541-194,2024-07-20,20:39:05.110693,Beer,Drinks,9,18.69,168.21,Cash,Seller D,40.71,26.91,Note 3,12
3868-928,2024-08-12,20:39:05.110693,Toilet Paper,Others,19,15.61,296.59,Cash,Seller A,66.17,47.45,Note 1,1
5620-997,2024-07-02,20:39:05.110693,Magazine,Others,17,9.86,167.62,PayPal,Seller B,4.71,26.82,Note 3,60
2785-388,2024-08-23,20:39:05.110693,Chocolate,Candies,18,14.97,269.46,PayPal,Seller A,12.51,43.11,Note 3,36
2146-722,2024-08-12,20:39:05.110693,Juice,Drinks,12,7.06,84.72,Credit Card,Seller B,19.65,13.56,Note 1,50
3128-165,2024-07-19,20:39:05.126317,Water,Drinks,1,14.67,14.67,Cash,Seller C,3.31,2.35,Note 2,61
4711-717,2024-08-04,20:39:05.126317,Camel,Cigarettes,17,17,289,Credit Card,Seller D,37.62,21.08,Note 1,97
7825-643,2024-08-16,20:39:05.126317,Cookies,Candies,8,18.91,151.28,Bank Transfer,Seller A,17.79,24.2,Note 2,71
9543-531,2024-07-23,20:39:05.126317,Camel,Cigarettes,7,17,119,Bank Transfer,Seller C,5.59,18.66,Note 3,55
1911-759,2024-07-16,20:39:05.126317,Cookies,Candies,18,14.39,259.02,PayPal,Seller D,67.19,41.44,Note 4,89
7650-251,2024-08-07,20:39:05.126317,Beer,Drinks,18,12.54,225.72,PayPal,Seller C,16.11,36.12,Note 3,87
7235-407,2024-07-21,20:39:05.126317,Candies,Candies,13,14.51,188.63,Bank Transfer,Seller D,52.06,30.18,Note 1,27
5774-968,2024-08-11,20:39:05.126317,Water,Drinks,1,16.29,16.29,Credit Card,Seller A,0.95,2.61,Note 2,54
4373-669,2024-07-07,20:39:05.141940,Lucky Strike,Cigarettes,13,11,143,Cash,Seller C,9.9,8.63,Note 1,52
2291-128,2024-07-15,20:39:05.141940,Chewing gums,Candies,15,14.9,223.5,PayPal,Seller D,44.65,35.76,Note 4,19
9050-367,2024-07-22,20:39:05.141940,Cigarette Lighter,Others,14,12,168,PayPal,Seller B,4.97,13.62,Note 3,28
3722-510,2024-08-25,20:39:05.141940,Candies,Candies,3,1.26,3.78,Cash,Seller B,0.91,0.6,Note 1,85
2620-567,2024-07-04,20:39:05.141940,Juice,Drinks,1,13.79,13.79,Bank Transfer,Seller A,1.81,2.21,Note 2,59
4891-851,2024-08-18,20:39:05.141940,Cookies,Candies,13,13.72,178.36,Credit Card,Seller B,15.04,28.54,Note 4,62
1844-796,2024-07-09,20:39:05.141940,Lucky Strike,Cigarettes,14,11,154,Bank Transfer,Seller B,13.35,16.31,Note 1,54
7145-541,2024-08-30,20:39:05.141940,Juice,Drinks,14,19.35,270.9,PayPal,Seller D,66.08,43.34,Note 4,32
8552-921,2024-08-20,20:39:05.141940,Marlboro,Cigarettes,2,13,26,PayPal,Seller B,0.8,0.83,Note 3,38
4651-118,2024-08-20,20:39:05.157568,Beer,Drinks,13,14.72,191.36,PayPal,Seller A,27.14,30.62,Note 2,43
1383-935,2024-08-01,20:39:05.157568,Marlboro,Cigarettes,1,13,13,Credit Card,Seller B,1.29,2.61,Note 1,43
8931-118,2024-07-29,20:39:05.157568,Chewing gums,Candies,15,11.78,176.7,Credit Card,Seller A,3.93,28.27,Note 3,67
6169-706,2024-08-30,20:39:05.157568,Cookies,Candies,15,11.38,170.7,Credit Card,Seller C,13.99,27.31,Note 3,15
2532-365,2024-08-23,20:39:05.157568,Water,Drinks,20,19.3,386,PayPal,Seller D,66.95,61.76,Note 4,49
9565-975,2024-07-19,20:39:05.157568,Toilet Paper,Others,2,16.08,32.16,Bank Transfer,Seller D,3.2,5.15,Note 2,79
3572-795,2024-07-02,20:39:05.157568,Lucky Strike,Cigarettes,6,11,66,Credit Card,Seller A,5.66,6.99,Note 3,93
7328-825,2024-07-22,20:39:05.157568,Chocolate,Candies,12,17.98,215.76,Bank Transfer,Seller C,2.99,34.52,Note 1,2
7885-183,2024-08-01,20:39:05.157568,Camel,Cigarettes,18,17,306,Bank Transfer,Seller C,17.69,13.33,Note 2,19
3449-911,2024-07-03,20:39:05.173194,Water,Drinks,12,14.31,171.72,PayPal,Seller A,5.13,27.48,Note 1,76
3721-376,2024-07-03,20:39:05.173194,Magazine,Others,1,14.48,14.48,Cash,Seller B,0.17,2.32,Note 2,16
5611-188,2024-07-29,20:39:05.173194,Chewing gums,Candies,11,5.44,59.84,PayPal,Seller B,2.67,9.57,Note 3,90
4231-945,2024-07-29,20:39:05.173194,Chocolate,Candies,13,10.81,140.53,Credit Card,Seller B,41.94,22.48,Note 1,28
8813-537,2024-08-05,20:39:05.173194,Cookies,Candies,12,5.04,60.48,Credit Card,Seller B,9.26,9.68,Note 4,72
3602-225,2024-07-26,20:39:05.173194,Juice,Drinks,10,16.06,160.6,Credit Card,Seller A,26.19,25.7,Note 4,86
9353-632,2024-08-15,20:39:05.173194,Juice,Drinks,7,17.1,119.7,PayPal,Seller D,24.91,19.15,Note 4,36
2259-406,2024-07-19,20:39:05.173194,Soda,Drinks,14,19.31,270.34,PayPal,Seller C,70.55,43.25,Note 4,48
1855-316,2024-07-18,20:39:05.173194,Camel,Cigarettes,13,17,221,PayPal,Seller B,34.38,38.75,Note 4,26
2302-602,2024-07-27,20:39:05.188815,Chewing gums,Candies,12,11.26,135.12,Cash,Seller C,3.4,21.62,Note 1,49
7821-550,2024-07-16,20:39:05.188815,Chewing gums,Candies,17,8.64,146.88,Cash,Seller C,30.51,23.5,Note 2,31
3493-466,2024-08-15,20:39:05.188815,Chocolate,Candies,8,10.07,80.56,Credit Card,Seller D,24.05,12.89,Note 4,92
8886-272,2024-08-15,20:39:05.188815,Cookies,Candies,16,10.81,172.96,PayPal,Seller C,12.48,27.67,Note 3,85
4307-413,2024-07-20,20:39:05.188815,Marlboro,Cigarettes,8,13,104,Bank Transfer,Seller A,11.02,19.14,Note 2,62
3390-237,2024-08-15,20:39:05.188815,Marlboro,Cigarettes,7,13,91,Credit Card,Seller A,0.03,7.43,Note 3,64
4838-522,2024-07-17,20:39:05.188815,Camel,Cigarettes,20,17,340,Bank Transfer,Seller C,48.29,30.72,Note 1,65
6311-861,2024-07-18,20:39:05.188815,Cigarette Lighter,Others,10,12,120,Bank Transfer,Seller B,31.48,16.82,Note 4,65
4732-799,2024-08-27,20:39:05.188815,Camel,Cigarettes,1,17,17,Cash,Seller D,3.63,2.84,Note 4,45
7201-759,2024-07-15,20:39:05.204443,Camel,Cigarettes,17,17,289,PayPal,Seller A,46.27,41.13,Note 3,30
3554-404,2024-08-17,20:39:05.204443,Marlboro,Cigarettes,14,13,182,PayPal,Seller C,10.19,12.19,Note 1,29
1750-329,2024-07-27,20:39:05.204443,Water,Drinks,1,3.08,3.08,PayPal,Seller C,0.2,0.49,Note 3,63
4043-134,2024-07-09,20:39:05.204443,Camel,Cigarettes,14,17,238,Bank Transfer,Seller B,0.27,5.26,Note 3,19
5924-580,2024-07-10,20:39:05.204443,Water,Drinks,2,11.12,22.24,PayPal,Seller A,1.21,3.56,Note 2,95
2647-808,2024-08-16,20:39:05.204443,Cookies,Candies,11,5.51,60.61,Bank Transfer,Seller A,3.74,9.7,Note 4,52
5114-490,2024-08-05,20:39:05.204443,Chocolate,Candies,7,17.31,121.17,Cash,Seller B,17.2,19.39,Note 4,20
9271-979,2024-07-26,20:39:05.204443,Camel,Cigarettes,7,17,119,Cash,Seller D,8.52,10.75,Note 1,52
9646-998,2024-07-29,20:39:05.204443,Chocolate,Candies,12,10.07,120.84,PayPal,Seller B,27.9,19.33,Note 1,45
9025-133,2024-08-29,20:39:05.220067,Water,Drinks,13,2.53,32.89,Cash,Seller B,5.28,5.26,Note 2,19
9438-307,2024-07-10,20:39:05.220067,Juice,Drinks,5,4.8,24,Credit Card,Seller D,1.44,3.84,Note 3,71
6464-916,2024-08-24,20:39:05.220067,Beer,Drinks,7,5.94,41.58,Credit Card,Seller C,9.87,6.65,Note 3,61
3692-486,2024-07-02,20:39:05.220067,Camel,Cigarettes,20,17,340,Bank Transfer,Seller A,29.93,56.7,Note 3,24
7160-557,2024-07-04,20:39:05.220067,Cigarette Lighter,Others,2,12,24,Cash,Seller A,5.65,3.09,Note 1,66
6262-772,2024-07-12,20:39:05.220067,Camel,Cigarettes,14,17,238,Credit Card,Seller A,36.22,30.87,Note 4,86
6831-974,2024-07-23,20:39:05.235694,Camel,Cigarettes,11,17,187,Credit Card,Seller C,30.96,19.5,Note 4,54
7216-205,2024-07-24,20:39:05.235694,Magazine,Others,19,15.4,292.6,PayPal,Seller A,33.21,46.82,Note 3,61
9695-924,2024-08-11,20:39:05.235694,Magazine,Others,20,9.86,197.2,Bank Transfer,Seller C,46.92,31.55,Note 3,62
2740-321,2024-07-14,20:39:05.235694,Toilet Paper,Others,19,18.69,355.11,Bank Transfer,Seller C,55.74,56.82,Note 1,20
5544-657,2024-07-04,20:39:05.235694,Magazine,Others,11,18.11,199.21,Bank Transfer,Seller C,59.57,31.87,Note 4,23
6481-403,2024-07-18,20:39:05.235694,Magazine,Others,6,12.32,73.92,PayPal,Seller B,13.81,11.83,Note 3,21
5243-447,2024-08-16,20:39:05.235694,Magazine,Others,20,3.75,75,Cash,Seller D,21.86,12,Note 2,45
1865-718,2024-08-06,20:39:05.235694,Cigarette Lighter,Others,6,12,72,PayPal,Seller A,11.48,6.43,Note 4,21
7762-759,2024-08-01,20:39:05.235694,Lucky Strike,Cigarettes,6,11,66,Credit Card,Seller C,4.98,5.33,Note 4,20
3505-756,2024-08-03,20:39:05.251316,Cigarette Lighter,Others,7,12,84,PayPal,Seller B,5.91,9.83,Note 3,87
6940-229,2024-08-16,20:39:05.251316,Toilet Paper,Others,13,17.26,224.38,PayPal,Seller B,43.8,35.9,Note 4,97
6300-715,2024-08-08,20:39:05.251316,Camel,Cigarettes,9,17,153,PayPal,Seller C,9.69,12.96,Note 2,75
4814-771,2024-08-01,20:39:05.251316,Toilet Paper,Others,1,7.35,7.35,Bank Transfer,Seller A,2.19,1.18,Note 3,55
8017-586,2024-08-05,20:39:05.251316,Soda,Drinks,7,16.39,114.73,Bank Transfer,Seller C,23.58,18.36,Note 2,21
8350-503,2024-07-03,20:39:05.251316,Chocolate,Candies,19,14.97,284.43,Cash,Seller A,26.43,45.51,Note 2,87
3462-495,2024-07-23,20:39:05.251316,Water,Drinks,17,5.42,92.14,Credit Card,Seller A,22.88,14.74,Note 3,62
1837-768,2024-07-20,20:39:05.251316,Soda,Drinks,19,6.6,125.4,Bank Transfer,Seller B,29.41,20.06,Note 3,20
5584-717,2024-07-03,20:39:05.251316,Lucky Strike,Cigarettes,2,11,22,Credit Card,Seller B,0.59,0.98,Note 2,86
5014-951,2024-08-08,20:39:05.266939,Soda,Drinks,1,16.39,16.39,Cash,Seller D,2.37,2.62,Note 2,45
2839-596,2024-08-24,20:39:05.266939,Beer,Drinks,14,2.82,39.48,Cash,Seller A,11.07,6.32,Note 4,22
3441-249,2024-07-18,20:39:05.266939,Juice,Drinks,1,18.79,18.79,Credit Card,Seller C,3.47,3.01,Note 4,81
2428-351,2024-07-24,20:39:05.266939,Magazine,Others,19,9.86,187.34,Credit Card,Seller A,25.85,29.97,Note 1,34
1725-100,2024-07-28,20:39:05.266939,Marlboro,Cigarettes,15,13,195,PayPal,Seller C,9.18,6.19,Note 3,49
8698-706,2024-07-15,20:39:05.266939,Lucky Strike,Cigarettes,1,11,11,Bank Transfer,Seller C,0.78,2.24,Note 4,73
8419-527,2024-07-17,20:39:05.266939,Magazine,Others,2,14.29,28.58,Credit Card,Seller A,7.28,4.57,Note 4,57
4296-217,2024-07-23,20:39:05.266939,Cigarette Lighter,Others,12,12,144,PayPal,Seller B,6.69,5.13,Note 1,6
9542-223,2024-08-15,20:39:05.266939,Cigarette Lighter,Others,15,12,180,Bank Transfer,Seller B,11.74,29.78,Note 1,18
7430-943,2024-08-18,20:39:05.282564,Candies,Candies,5,7.34,36.7,PayPal,Seller B,3.92,5.87,Note 4,32
4249-170,2024-08-21,20:39:05.282564,Chewing gums,Candies,4,17.56,70.24,Credit Card,Seller C,1.52,11.24,Note 1,9
4642-572,2024-08-09,20:39:05.282564,Candies,Candies,20,3.84,76.8,Credit Card,Seller D,0.21,12.29,Note 1,74
4078-186,2024-07-25,20:39:05.282564,Juice,Drinks,10,4.94,49.4,PayPal,Seller D,6,7.9,Note 1,13
3540-410,2024-07-29,20:39:05.282564,Chocolate,Candies,8,7.08,56.64,Credit Card,Seller C,3.9,9.06,Note 3,92
8335-609,2024-07-14,20:39:05.282564,Water,Drinks,10,2.53,25.3,PayPal,Seller C,4.91,4.05,Note 1,100
9758-861,2024-07-26,20:39:05.282564,Water,Drinks,14,11.12,155.68,Cash,Seller A,43.73,24.91,Note 4,40
3910-489,2024-08-24,20:39:05.282564,Marlboro,Cigarettes,7,13,91,Bank Transfer,Seller B,19.66,18.26,Note 1,6
9597-464,2024-08-22,20:39:05.282564,Magazine,Others,11,4.34,47.74,Bank Transfer,Seller B,6.95,7.64,Note 1,35
9105-657,2024-07-16,20:39:05.298188,Chewing gums,Candies,13,10.47,136.11,Credit Card,Seller D,29.29,21.78,Note 4,73
4257-565,2024-08-12,20:39:05.298188,Beer,Drinks,15,6.29,94.35,PayPal,Seller D,21.64,15.1,Note 2,84
8824-462,2024-08-20,20:39:05.298188,Chewing gums,Candies,5,13.94,69.7,PayPal,Seller A,18.04,11.15,Note 2,45
4615-906,2024-08-16,20:39:05.298188,Candies,Candies,10,4.04,40.4,Credit Card,Seller D,2.25,6.46,Note 2,67
9065-501,2024-08-23,20:39:05.298188,Juice,Drinks,7,16.55,115.85,Cash,Seller D,27.66,18.54,Note 4,41
3731-870,2024-07-18,20:39:05.298188,Lucky Strike,Cigarettes,18,11,198,Credit Card,Seller B,21.11,14.11,Note 1,49
2252-735,2024-08-21,20:39:05.298188,Magazine,Others,8,7.2,57.6,Cash,Seller A,11.33,9.22,Note 2,6
7894-176,2024-07-12,20:39:05.298188,Lucky Strike,Cigarettes,12,11,132,Credit Card,Seller C,9.05,9.29,Note 2,81
6167-467,2024-08-16,20:39:05.298188,Toilet Paper,Others,17,15.13,257.21,Bank Transfer,Seller C,10.08,41.15,Note 1,8
8035-490,2024-08-24,20:39:05.313814,Marlboro,Cigarettes,10,13,130,Bank Transfer,Seller A,41.2,27.5,Note 4,61
1603-831,2024-07-12,20:39:05.313814,Soda,Drinks,15,13.18,197.7,Credit Card,Seller C,12.31,31.63,Note 3,14
5245-933,2024-07-23,20:39:05.313814,Cookies,Candies,6,11.81,70.86,Bank Transfer,Seller A,12.48,11.34,Note 3,50
9876-804,2024-07-26,20:39:05.313814,Magazine,Others,17,9.86,167.62,Credit Card,Seller D,33.54,26.82,Note 4,61
9006-609,2024-08-20,20:39:05.313814,Cigarette Lighter,Others,4,12,48,PayPal,Seller C,2.33,2.24,Note 3,48
2339-986,2024-07-14,20:39:05.313814,Lucky Strike,Cigarettes,12,11,132,Cash,Seller A,12,8.91,Note 3,90
8416-304,2024-07-12,20:39:05.313814,Toilet Paper,Others,7,14.63,102.41,Cash,Seller A,11.67,16.39,Note 4,17
7673-764,2024-08-19,20:39:05.313814,Magazine,Others,5,3.75,18.75,Cash,Seller D,4.48,3,Note 1,84
2315-916,2024-08-25,20:39:05.313814,Marlboro,Cigarettes,20,13,260,Bank Transfer,Seller C,46.3,47.84,Note 1,39
1473-700,2024-07-31,20:39:05.329438,Toilet Paper,Others,4,18.08,72.32,PayPal,Seller C,11.8,11.57,Note 1,38
6837-934,2024-07-20,20:39:05.329438,Cigarette Lighter,Others,10,12,120,Cash,Seller A,13.6,20.74,Note 1,23
8208-270,2024-07-07,20:39:05.329438,Lucky Strike,Cigarettes,5,11,55,Cash,Seller A,1.17,3.81,Note 2,30
6731-224,2024-07-03,20:39:05.329438,Candies,Candies,18,3.11,55.98,PayPal,Seller C,10.37,8.96,Note 3,84
7138-948,2024-08-25,20:39:05.329438,Marlboro,Cigarettes,2,13,26,Bank Transfer,Seller B,0.05,0.4,Note 1,98
4739-312,2024-07-18,20:39:05.329438,Lucky Strike,Cigarettes,13,11,143,Credit Card,Seller C,4.13,17.16,Note 3,12
3138-559,2024-07-20,20:39:05.329438,Toilet Paper,Others,3,3.45,10.35,Bank Transfer,Seller A,0.43,1.66,Note 2,67
2503-530,2024-07-07,20:39:05.329438,Candies,Candies,7,4.79,33.53,Credit Card,Seller D,6.71,5.36,Note 2,90
3483-752,2024-07-30,20:39:05.345064,Camel,Cigarettes,19,17,323,Cash,Seller D,45.95,41.89,Note 3,41
2980-853,2024-08-13,20:39:05.345064,Candies,Candies,7,2.37,16.59,PayPal,Seller C,2.82,2.65,Note 1,97
3324-848,2024-07-19,20:39:05.345064,Chewing gums,Candies,17,11.26,191.42,Credit Card,Seller D,31.63,30.63,Note 1,95
2671-384,2024-08-03,20:39:05.345064,Chocolate,Candies,9,4.8,43.2,Bank Transfer,Seller C,9.63,6.91,Note 4,53
1014-647,2024-08-30,20:39:05.345064,Soda,Drinks,12,2.98,35.76,PayPal,Seller A,7.14,5.72,Note 2,63
9038-671,2024-08-21,20:39:05.345064,Water,Drinks,8,7,56,Bank Transfer,Seller D,7.62,8.96,Note 1,38
3943-602,2024-07-19,20:39:05.345064,Water,Drinks,1,12.79,12.79,Credit Card,Seller B,3.72,2.05,Note 2,71
7149-781,2024-07-14,20:39:05.345064,Juice,Drinks,10,19.35,193.5,Bank Transfer,Seller C,39.87,30.96,Note 4,54
